#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-03-10 03:00:00,0.18902597410101,0.26652662348242,761.06416364797,5072.590351932,,3609,12.52,8.99,0,0,990.48
2023-03-10 04:00:00,0.18706473638916,0.26376127830872,794.16198844094,5190.7826869809,,3609,12.5,8.68,0,0,989.74
2023-03-10 05:00:00,0.18961446753632,0.26735639922621,748.44396668565,5355.7750405397,,3608,12.34,8.43,0,0,988.93
2023-03-10 06:00:00,0.18970108771372,0.26747853367634,740.59944502028,5134.8767582527,,3608,12.42,8.94,0,0,988.06
2023-03-10 07:00:00,0.18896982724474,0.26644745641508,732.32058363239,5098.6557015597,,3609,13,12.77,0,0,987.25
2023-03-10 08:00:00,0.18593852059076,0.26217331403297,770.42490632055,5026.8021688138,,3608,13.13,17.96,0,0,987.36
2023-03-10 09:00:00,0.18736862897139,0.26418976684965,749.27070234154,5350.6269334851,,3609,13.21,21.58,0,0,986.39
2023-03-10 10:00:00,0.18735959767603,0.2641770327232,779.18895496591,5179.9912763503,,3609,13.2,21.28,0,0,986.11
2023-03-10 11:00:00,0.18757676393535,0.26448323714885,744.73920075778,4975.8696820834,,3608,13.1,22.32,0,0,986.1
2023-03-10 12:00:00,0.19016535460228,0.26813314998921,748.67738850285,5363.9269238281,,3609,14.15,23.35,0,0,986.18
2023-03-10 13:00:00,0.19395581479497,0.27347769886091,722.40967555455,5319.8426124248,,3607,13.13,23.72,0,0,985.84
2023-03-10 14:00:00,0.19370448611747,0.27312332542563,780.27770602141,5078.4837484066,,3609,14.03,25.44,0,0,985.97
2023-03-10 15:00:00,0.19486868963004,0.27476485237835,751.19969748164,5206.6603440917,,3608,14.11,25.45,0,0,985.99
2023-03-10 16:00:00,0.19367187823918,0.27307734831725,748.3053929581,5014.2567844047,,3609,13.08,22.78,0,0,985.88
2023-03-10 17:00:00,0.19406550086549,0.27363235622033,744.84164081933,5161.8666750225,,3608,12.62,17.49,0,0,986.22
2023-03-10 18:00:00,0.19690338455293,0.27763377221964,746.51036308955,5164.9143232588,,3609,12.54,14.98,0,0,986.03
