#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-01-02 18:00:00,0.21388023549296,0.32082035323945,1000.500863613,5582.980925112,,3609,12.44,10.63,0,0,989.27
2023-01-02 19:00:00,0.21111208505136,0.31666812757704,997.3108040392,5578.924638662,,3609,12.44,10.39,0,0,989.23
2023-01-02 20:00:00,0.20871276618154,0.31306914927231,999.99711146281,5567.3346621151,,3612,12.53,10.13,0,0,989.07
2023-01-02 21:00:00,0.20836873327771,0.31255309991656,999.76182910531,5573.2623125717,,3611,12.37,10.02,0,0,989.31
2023-01-02 22:00:00,0.2101691811036,0.3152537716554,995.95913956935,5577.8892007797,,3612,12.36,9.95,0,0,989.37
2023-01-02 23:00:00,0.21206923306783,0.31810384960174,991.97053357016,5582.6277356233,,3611,12.13,9.98,0,0,989.32
2023-01-03 00:00:00,0.21154736379603,0.31732104569405,995.14786389305,5589.4959794371,,3611,12.25,10.39,0,0,988.99
2023-01-03 01:00:00,0.2068457078295,0.31026856174426,1004.8123068495,5596.3856081384,,3613,12.53,10.27,0,0,989.11
2023-01-03 02:00:00,0.2083604460014,0.31254066900209,1003.6228247731,5600.9516129026,,3615,12.45,10,0,0,989.27
2023-01-03 03:00:00,0.20629072910169,0.30943609365254,1004.9892706449,5587.7278900688,,3614,12.41,9.85,0,0,989.04
2023-01-03 04:00:00,0.20592571666215,0.30888857499322,1008.9352994162,5596.607960089,,3605,12.42,9.42,0,0,988.9
2023-01-03 05:00:00,0.2065267572725,0.30979013590875,1005.8198532095,5609.2690362018,,3613,12.39,9.21,0,0,988.71
2023-01-03 06:00:00,0.20621542919105,0.30932314378658,1008.5733562086,5598.717413525,,3612,12.04,9.22,0,0,988.85
2023-01-03 07:00:00,0.20904526064842,0.31356789097263,1005.3676316461,5608.8963331356,,3612,12.42,10.19,0,0,989.08
2023-01-03 08:00:00,0.20818460178553,0.3122769026783,1003.7921377752,5616.1028435991,,3613,12.41,11.28,0,0,989.61
