#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-01-17 15:00:00,,,,,,132.81481481481,12.524074074074,21.771851851852,0,0,984.84888888889
2023-01-17 16:00:00,,,,,,132.62962962963,12.529259259259,21.647407407407,0,0,985.14
2023-01-17 17:00:00,,,,,,132.07407407407,12.528518518519,21.922592592593,0,0,985.54925925926
2023-01-17 18:00:00,,,,,,132.5,12.535357142857,21.695357142857,0,0,985.63428571429
2023-01-17 19:00:00,,,,,,132.48148148148,12.533333333333,21.181111111111,0,0,986.07333333333
2023-01-17 20:00:00,,,,,,132.62962962963,12.52962962963,20.805925925926,0,0,985.81296296296
2023-01-17 21:00:00,,,,,,132.51851851852,12.531481481481,20.526666666667,0,0,985.7662962963
2023-01-17 22:00:00,,,,,,132.51851851852,12.534074074074,20.25962962963,0,0,986.1362962963
2023-01-17 23:00:00,,,,,,132.51851851852,12.525185185185,20.024444444444,0,0,986.05259259259
2023-01-18 00:00:00,,,,,,133.40740740741,12.52962962963,19.813333333333,0,0,985.94407407407
2023-01-18 01:00:00,,,,,,133.37037037037,12.525185185185,19.628518518519,0,0,986.38925925926
2023-01-18 02:00:00,,,,,,133.7037037037,12.527037037037,19.462962962963,0,0,986.79703703704
2023-01-18 03:00:00,,,,,,132.42857142857,12.54,19.267142857143,0,0,987.43035714286
2023-01-18 04:00:00,,,,,,132.44444444444,12.538518518519,19.111481481481,0,0,987.92111111111
2023-01-18 05:00:00,,,,,,132.88888888889,12.527407407407,18.978148148148,0,0,988.45296296296
2023-01-18 06:00:00,,,,,,132.48148148148,12.536666666667,18.833703703704,0,0,989.40111111111
2023-01-18 07:00:00,,,,,,132.40740740741,12.531111111111,19.234444444444,0,0,990.33185185185
2023-01-18 08:00:00,,,,,,133.2962962963,12.53,20.411481481481,0,0,991.48592592593
2023-01-18 09:00:00,,,,,,132.44444444444,12.531481481481,20.704814814815,0,0,992.41185185185
2023-01-18 10:00:00,,,,,,132.03571428571,12.541785714286,21.078928571429,0,0,993.20857142857
2023-01-18 11:00:00,,,,,,133.33333333333,12.528888888889,21.332962962963,0,0,993.58037037037
2023-01-18 12:00:00,,,,,,133.22222222222,12.532222222222,21.412592592593,0,0,993.68222222222
2023-01-18 13:00:00,,,,,,132.40740740741,12.528888888889,21.655185185185,0,0,993.72814814815
2023-01-18 14:00:00,,,,,,134.4,12.5132,21.4808,0,0,993.984
2023-01-18 15:00:00,,,,,,132.59259259259,12.532222222222,21.235555555556,0,0,994.20259259259
2023-01-18 16:00:00,,,,,,214,12.534,21.314,0,0,994.42866666667
2023-01-18 17:00:00,,,,,,3608,12.6,20.35,0,0,994.48
2023-01-18 18:00:00,,,,,,3608,12.57,19.95,0,0,995.07
2023-01-18 19:00:00,,,,,,3608,12.51,19.66,0,0,995.96
2023-01-18 20:00:00,,,,,,3609,12.57,19.38,0,0,995.98
2023-01-18 21:00:00,,,,,,3609,12.55,19.2,0,0,996.27
2023-01-18 22:00:00,,,,,,3608,12.56,19.02,0,0,996.32
2023-01-18 23:00:00,,,,,,3608,12.55,18.86,0,0,996.55
2023-01-19 00:00:00,,,,,,3608,12.56,18.7,0,0,996.57
2023-01-19 01:00:00,,,,,,3609,12.51,18.57,0,0,996.9
2023-01-19 02:00:00,,,,,,3608,12.51,18.42,0,0,997.23
2023-01-19 03:00:00,,,,,,3608,12.52,18.29,0,0,996.94
2023-01-19 04:00:00,,,,,,3608,12.57,18.16,0,0,997.25
2023-01-19 05:00:00,,,,,,3609,12.57,18.04,0,0,997.61
2023-01-19 06:00:00,,,,,,3609,12.53,17.91,0,0,997.93
2023-01-19 07:00:00,,,,,,3609,12.53,18.92,0,0,998.83
2023-01-19 09:00:00,,,,,,3655,12.53,20.5,0,0,999.87
2023-01-19 10:00:00,,,,,,3605,12.46,21.27,0,0,1000.41
2023-01-19 11:00:00,,,,,,3605,12.52,21.74,0,0,1001.72
2023-01-19 12:00:00,,,,,,3605,12.56,21.46,0,0,1001.58
2023-01-19 13:00:00,,,,,,3611,12.47,22.16,0,0,1001.92
2023-01-19 14:00:00,,,,,,3605,12.51,22.8,0,0,1002.49
2023-01-19 15:00:00,,,,,,3605,12.57,23.13,0,0,1002.76
2023-01-19 16:00:00,,,,,,3605,12.54,23.19,0,0,1002.84
2023-01-19 17:00:00,,,,,,3605,12.52,23.16,0,0,1003.49
2023-01-19 18:00:00,,,,,,3605,12.59,22.19,0,0,1003.62
