datetime,uncorrectedNeutrons,incoming,TAVG,PREC,RHAVG,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],pressureCorrectedNeutrons,PRESS(hPa),incoming_correction,press_correction,RH_correction,corrected_neutrons,movingAvg_neutrons,soil_moisture
2023-03-20 17:00:00,744.0,153.994,12.1,0.0,86.0,0.11117068358643,0.15008042284168,772.22110341858,1017.85,0.9742536792578609,1.043875260455972,1,756.6474890100035,751.6118559230022,0.23607372645844002
2023-03-20 18:00:00,791.0,153.867,10.4,0.0,91.2,0.1108426817757,0.1496376203972,772.5639222603,1017.73,0.9750578167094637,1.0429236802049866,1,804.376511312681,753.7575415460124,0.23348297032434753
2023-03-20 19:00:00,759.0,153.599,8.9,0.0,96.3,0.1118576165109,0.15100778228972,771.36051915491,1017.8,0.9767591005386431,1.0434786632152464,1,773.5935059096629,752.9182647516094,0.23449223937262145
2023-03-20 20:00:00,762.0,152.729,8.3,0.0,96.3,0.1126412800913,0.15206572812326,770.69339479791,1018.03,0.9823230760604406,1.045304259024441,1,782.4417892997039,752.711687879465,0.23474146182145197
2023-03-20 21:00:00,740.0,152.821,6.8,0.0,97.2,0.1145677460789,0.15466645720652,768.83214683459,1018.09,0.9817317062683468,1.0457810264612708,1,759.740529703256,754.2579405562682,0.2328837009843426
2023-03-20 22:00:00,691.0,153.533,6.1,0.0,97.1,0.1158691875915,0.15642340324853,766.83080984899,1018.29,0.9771789848673252,1.0473718223200628,1,707.2175862723313,752.3592830431829,0.23516735330766325
2023-03-20 23:00:00,772.0,153.444,6.2,0.0,96.6,0.11599440639286,0.15659244863037,767.14984331134,1018.47,0.9777457644719575,1.0488056074584302,1,791.6591656250212,750.3073477843699,0.23766577139357625
2023-03-21 00:00:00,730.0,152.601,6.1,0.0,96.2,0.11752049078674,0.1586526625621,765.58051203611,1018.09,0.9831470375923816,1.0457810264612708,1,750.5542582390746,752.4562668462336,0.2350500528194307
2023-03-21 01:00:00,707.0,153.316,5.1,0.0,98.9,0.11685406104475,0.15775298241041,765.32477529671,1018.19,0.978562061908966,1.0465761221394687,1,724.0667594340204,751.8294137912839,0.2358094693561458
2023-03-21 02:00:00,712.0,152.898,4.1,0.1,100.0,0.11616853478164,0.15682752195521,766.60080340996,1017.6,0.9812373025391767,1.041893780463194,1,727.9096703839234,753.2692892155166,0.23406947938025724
2023-03-21 03:00:00,766.0,153.066,3.9,0.0,100.0,0.11441945890328,0.15446626951943,769.03981472094,1016.96,0.9801603300774505,1.0368383139765738,1,778.4611225931969,751.1925095621796,0.23658409531917315
2023-03-21 04:00:00,731.0,153.086,4.2,0.0,99.4,0.11290828607069,0.15242618619543,770.54610782319,1016.78,0.9800322765219225,1.035420888902854,1,741.7792462550759,751.7340425173415,0.23592526831804966
2023-03-21 05:00:00,764.0,152.669,3.9,0.0,97.9,0.11174836267651,0.15086028961329,772.56510276239,1016.66,0.9827091359977141,1.0344770155238572,1,776.6747707990969,752.432006665215,0.23507938854166635
2023-03-21 06:00:00,734.0,153.176,4.3,0.0,98.3,0.11180630742597,0.15093851502505,771.59658681481,1016.59,0.9794564493369395,1.033926820116554,1,743.3117384055049,751.1080393379021,0.2366870616149991
2023-03-21 07:00:00,715.0,152.29,7.1,0.0,96.5,0.11266625398886,0.15209944288496,771.01457991546,1017.05,0.9851547776192464,1.037547753984156,1,730.833765694611,749.69441110647,0.23841829199528206
2023-03-21 08:00:00,747.0,152.764,10.4,0.0,84.4,0.11181014093296,0.15094369025949,772.38918078952,1017.19,0.9820980144774621,1.038652292304579,1,761.9835904415793,750.2018455020258,0.23779509463555767
2023-03-21 09:00:00,707.0,152.999,13.1,0.0,77.8,0.11289187125444,0.1524040261935,770.2172036887,1017.52,0.9805895534195325,1.0412605015809606,1,721.8817633587415,747.6062819316979,0.24100372951228574
2023-03-21 10:00:00,718.0,153.038,15.1,0.0,73.4,0.11342473337409,0.15312339005503,768.09255152179,1017.23,0.9803396612843543,1.038968090600348,1,731.3128874855175,744.682291909236,0.24468169764728703
2023-03-21 11:00:00,761.0,152.847,16.2,0.0,66.5,0.1121465256331,0.15139780960468,769.91355736033,1017.35,0.9815647090465304,1.039916061708095,1,776.7868738794665,748.6314722461257,0.23973015014579496
2023-03-21 12:00:00,735.0,153.664,17.3,0.0,60.8,0.11177201580281,0.15089222133379,769.11980920834,1016.99,0.9763459306254884,1.03707474006371,1,744.2196211285316,746.3493859807695,0.2425764052324457
2023-03-21 13:00:00,748.0,152.958,18.1,0.0,59.0,0.11124088936645,0.15017520064471,770.20623223188,1016.26,0.9808523979369176,1.031336980667891,1,756.6688342257027,746.7166778360664,0.2421155463113809
2023-03-21 14:00:00,705.0,153.134,19.0,0.0,55.3,0.11274471104809,0.15220535991492,767.77646610929,1015.6,0.9797250844595913,1.0261767470581498,1,708.7866256283202,747.1836257815504,0.24153118341555066
2023-03-21 15:00:00,760.0,152.552,19.5,0.0,52.5,0.11321661574899,0.15284243126113,768.01405897586,1014.98,0.9834628263387897,1.0213527764263461,1,763.3914910268504,749.205317137173,0.2390208381043704
2023-03-21 16:00:00,745.0,152.483,18.4,0.0,53.5,0.11396080566681,0.15384708765019,768.36501114287,1014.17,0.9839078525713361,1.0150846418478296,1,744.0685638532882,749.2588333428063,0.23895481821616701
2023-03-21 17:00:00,723.0,151.749,16.2,0.0,63.9,0.11572754025585,0.15623217934539,766.61107590834,1014.04,0.9886669505804654,1.0140822334929527,1,724.8722731544956,751.2019959317554,0.23657253514013699
2023-03-21 18:00:00,770.0,152.007,13.7,0.0,75.7,0.11672786951475,0.15758262384491,764.7526805902,1014.0,0.9869888957984503,1.0137739993479349,1,770.4494337583097,752.188217875978,0.23537442607253056
2023-03-21 19:00:00,787.0,152.183,12.8,0.0,78.4,0.1156470788703,0.15612355647491,765.03719839252,1013.87,0.9858474408024224,1.0127728852683704,1,785.7719314029998,752.719945667565,0.23473149318592257
2023-03-21 20:00:00,717.0,151.788,13.0,0.0,75.6,0.11687565978336,0.15778214070754,762.19494423681,1014.31,0.9884129251563696,1.016165266697228,1,720.1482636118315,753.7651671792095,0.23347382411088496
2023-03-21 21:00:00,686.0,151.724,11.7,0.0,81.6,0.11922435208817,0.16095287531903,758.99288000201,1014.36,0.9888298560783729,1.0165514828749997,1,689.5647691641742,755.6374628708078,0.23124113619836859
2023-03-21 22:00:00,798.0,151.983,10.9,0.0,85.3,0.11732923410503,0.15839446604178,762.67176160158,1014.56,0.987144753581881,1.0180978160444574,1,801.9979143576828,757.3124919813584,0.22926531144517576
2023-03-21 23:00:00,734.0,152.134,9.5,0.0,86.9,0.11864375417829,0.16016906814069,760.11792412287,1014.55,0.986164966960936,1.01802044355063,1,736.8890952564736,757.3285444931093,0.2292464740051495
